topic,category,entity_name,region,fame_level,notes
Skinwalkers,Cryptid,Navajo Skinwalker,Southwestern US,High,Ritualistic shapeshifter; peak TikTok/YouTube virality
Wendigos,Cryptid,Algonquian Wendigo,Great Lakes/Canada,High,Starvation spirit; top 1K performer on our channel
The Bell Witch,Haunting,Bell Witch,Adams TN,High,Famous American haunting; proven performer
Mothman,Cryptid,Mothman,Point Pleasant WV,High,1967 sightings; search demand strong
Dracula,Folklore,Vlad III Dracula,Transylvania,High,Historical+horror overlap; 1.1K views on our channel
The Beast of Gévaudan,Cryptid,La Bête,Gévaudan France,Medium,Historical French cryptid; 780 views
Baba Yaga,Folklore,Baba Yaga,Slavic Europe,High,Mainstream pop culture recognition
Chupacabra,Cryptid,El Chupacabra,Latin America,High,Peak 1990s; sustained search demand
The Jersey Devil,Cryptid,Leeds Devil,Pine Barrens NJ,Medium,Native American + colonial hybrid
Shadow People,Entity,Shadow Person,Global,High,Urban legend staple; 714 views on our channel
Phantom Hikers,Haunting,Phantom Hitchhiker,Global,Medium,Resonance Hiker subculture
Banshees,Folklore,Bean Sidhe,Ireland,High,Celtic death omen; mainstream recognition
La Llorona,Folklore,Weeping Woman,Latin America,High,Hispanic folklore; sustained virality
The Mothman Prophecy,UFO/Cryptid,Indrid Cold,Point Pleasant,Medium,Bridge collapse prophecy tie-in
Beast of Bray Road,Cryptid,Bray Road Beast,Wisconsin,Medium,American Dogman variant
The Enfield Poltergeist,Haunting,Enfield Entity,London UK,High,Documented case; film tie-in
The Valdivia Creeper,Cryptid,Hombre de la Mochila,Chile,Low,Emerging South American cryptid
The Pope Lick Monster,Cryptid,Pope Lick Goatman,Louisville KY,Medium,Goatman variant; urban legend
The Hodag,Cryptid,Hodag,Rhinelander WI,Low,Logging-era cryptid; regional charm
The Flatwoods Monster,Cryptid,Braxton County Monster,WV,Low,UFO+entity hybrid; retro appeal
Shtriga,Folklore,Albanian Vampire Witch,Albania,Low,Mediterranean/Slavic crossover
Leshy,Folklore,Леший,Slavic Russia,Medium,Forest guardian-spirit; environmental horror potential
Yuki-onna,Folklore,Snow Woman,Japan,Medium,Japanese death spirit; seasonal evergreen
Kuchisake-onna,Folklore,Slit-Mouthed Woman,Japan,High,Urban legend; modern adaptation ready
Teke Teke,Folklore,Upper Torso Ghost,Japan,Medium,Body-horror folklore; viral potential
The Kraken,Sea Monster,Kraken,Nordic Sea,High,Mythological sea creature; mainstream recognition
Davy Jones,Entity,Davy Jones,Global Maritime,High,Pirate folklore; adventure horror hybrid
The Flying Dutchman,Haunting,Cursed Ship,Global Maritime,Medium,Maritime ghost story staple
Loup-garou,Folklore,Werewolf,France/Louisiana,Medium,French-Creole werewolf; regional flavor
The Rougarou,Folklore,Louisiana Werewolf,Louisiana,Medium,Cajun creature; cultural cross-section
The Caddy,Cryptid,Cadborosaurus,BC/Vancouver Island,Low,Sea serpent; cryptozoological niche
Ogopogo,Cryptid,Lake Demon,Okanagan Lake,Low,Canadian Nessie; regional tourism tie-in
The Tokoloshe,Entity,Tikoloshe,South Africa,Low,Zulu witchcraft spirit; international niche
Mokèlé-mbèmbé,Cryptid,Behemoth,Congo,Medium,Prehistoric survival cryptid; exploration angle
The Nandi Bear,Cryptid,Kerit,Kenya,Low,African cryptid; geographic variety
The Olitiau,Cryptid,Kongomato,Congo,Low,Prehistoric creature; discovery narrative
The Ahool,Cryptid,Java Ape-Bat,Indonesia,Low,Asian flying cryptid; niche audience
The Bunyip,Cryptid,Bunyeep,Australia,Medium,Indigenous creature; Aussie audience potential
Drop Bears,Cryptid,Drop Bear,Australia,High,Satirical + genuine; viral meme potential
The Yowie,Cryptid,Yuwi,Australia,Medium,Australian Bigfoot; Oceanic representation
The Yara-ma-yha-who,Folklore,Tree Vampire,Australia,Low,Aboriginal folklore; educational horror
The Pukwudgie,Folklore,Little People,New England,Low,Wampanoag creature; regional niche
The Snallygaster,Cryptid,Snollygoster,Maryland,Low,Multi-feature chimera; weird appeal
Bunnyman,Cryptid,Bunnyman,VA suburbs,Low,Urban legend; suburban horror angle
The Michigan Dogman,Cryptid,Dogman,Michigan,Medium,Regional Dogman; Great Lakes audience
The Fouke Monster,Cryptid,Boggy Creek Monster,Arkansas,Medium,Southern cryptid; film legacy
Pukwudgies,Folklore,Pukwudgie,New England,Low,Wampanoag little people; colonial horror
The Mapinguari,Cryptid,Mapinguari,Amazon,Medium,Brazilian cryptid; South American focus
The Chupacabras Chronicles,Documentary,Chupacabra,Puerto Rico/Mexico,High,Meta-analysis of sightings
The Enfield Horror,Cryptid,Enfield Monster,Illinois,Low,Rain-soaked creature; atmospheric
Pukwudgies,Folklore,Little People,New England,Low,Wampanoag creature; colonial horror
The Grafton Monster,Cryptid,Grafton Beast,WV,Low,Headless+white; Appalachian flavor
The Beast of Busco,Cryptic,Oscar,Turtle,Indiana,Low,Absurdist cryptid; niche viral potential
The Wampus Cat,Folklore,Cougar Witch,Cherokee,Medium,Shape-shifter; Appalachian folklore
